id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
896,atocor 80 tablet,Atorsave 80 Tablet,Jubicad 80mg Tablet,Statix 80mg Tablet,Dispitor 80mg Tablet,Lipisafe 80mg Tablet,Dyspepsia,Abdominal pain,Indigestion
897,atrest 25 tablet,Ticfree Tablet,Ticrest 25 Tablet,Ticstop Tablet,Revocon Tablet,,Nausea,Insomnia (difficulty in sleeping),Anxiety
898,actifed plus tablet,,,,,,Nausea,Allergic reaction,Sleepiness
899,alcinac p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
900,arpizol 15 tablet,Apiz 15mg Tablet,Arimelt 15mg Tablet,Arzur 15 Tablet,Nulet 15 Tablet,Aripiren 15mg Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
901,arigaba nt tablet,Nervic-NT Tablet,Gabanyt 400mg/10mg Tablet,Mylamin GN Tablet,Dutam Plus Tablet,Arobaba NT 400mg/10mg Tablet,Constipation,Difficulty in urination,Weight gain
902,acivir 400mg syrup,,,,,,Headache,Dizziness,Vomiting
903,amlomed at 5mg/50mg tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
904,azusa t 8/40 tablet,Zeblong T 40mg/8mg Tablet,Telmed-AZ 40 Tablet,Telma AZ 40mg/8mg Tablet,Azilta T 40 Tablet,Emdip T 40mg/8mg Tablet,Dizziness,Headache,Nausea
905,azomycin 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
906,abortab 200mg tablet,Medabon 200mg Tablet,Termipil 200mg Tablet,Pregnot 200mg Tablet,Termipil 200mg Kit,Mifecon 200mg Tablet,Nausea,Vomiting,Uterine cramps
907,aldryl syrup,Anadryl  Syrup,Maxodyl Syrup,Maxodyl Syrup,Lupihist Plus Syrup,Histadril Syrup,Stomach pain/epigastric pain,Sleepiness,Dizziness
908,azibact 100 readymix oral suspension,Infurox 100mg Oral Suspension,Ibithral 100 Rediuse Oral Suspension,Zithro Oral Suspension,Azilide 100 RediMed Oral Suspension,Azikem 100mg/5ml Oral Suspension,Vomiting,Nausea,Abdominal pain
909,accuzon plus 1.5gm injection,Effimax S 1000 mg/500 mg Injection,Trixon S 1000 mg/500 mg Injection,Big-Tum 1.5G Injection,Extacef XL 1000mg/500mg Injection,Cefrine Plus 1000 mg/500 mg Injection,Diarrhea,Increased liver enzymes,Allergic reaction
910,anaproct ointment,,,,,,"Application site reactions (burning, irritation, itching and redness)",,
911,attentrol 10mg capsule,Tomoxetin 10mg Capsule,Atexitine 10 Capsule,,,,Headache,Nausea,Vomiting
912,amace tablet,Entp-A 5mg/5mg Tablet,AMENA 5MG/5MG TABLET,AMLOGEN-EL 5MG/5MG TABLET,ENVAS AM 5 MG/5 MG TABLET,Ampril 5mg/5mg Tablet,Decreased blood pressure,Sleepiness,Taste change
913,aciloc-s suspension sugar free,Pracid O Suspension,Megagel Plus Suspension,Endcid-O Suspension,Anburn O Suspension,Zestnate Suspension,Chalky taste,Diarrhea,Constipation
914,ara eye drop,Nanovisc Eye Drop,Lacrisol Eye Drop,Aqualina Eye Drop,Liketears Plus Eye Drop,,"Application site reactions (burning, irritation, itching and redness)",,
915,aziwok-xl 200 liquid,Azigard 200mg/5ml Suspension,Azis 200mg/5ml Suspension,Azinova 200mg/5ml Suspension,Laz 200mg/5ml Suspension,Azicin Suspension,Vomiting,Nausea,Abdominal pain
916,aim7 60 xr tablet,Glizid Total P  15 Tablet SR,Gliclize Total 60mg/15mg/500mg Tablet SR,Bytey Total 60mg/15mg/500mg Tablet SR,Dayclazide Total 60mg/15mg/500mg Tablet SR,Carryl MP 60mg/15mg/500mg Tablet SR,Hypoglycemia (low blood glucose level),Dizziness,Headache
917,atchol gold 10 capsule,Atorlip Gold 10 Capsule,Clavix Gold 10 Capsule,Atormac Gold 10 Capsule,Atonita Gold 75mg/10mg/75mg Capsule,Clopitab-CV Gold 10 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
918,acenac-p  tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
919,amortas cream,Arolson Cream,Zydiwon Cream,Amrolwin Cream,Emrolfin Cream,Amrolwin Cream,Limited data available,,
920,aldonil plus tablet sr,Alrista Plus Tablet SR,Epineuron SR Tablet,Epalpex-M SR Tablet,Epalrica-M Tablet SR,Nurestat-Plus Tablet SR,Nausea,Vomiting,Increased liver enzymes
921,auxerg cream,,,,,,Dry skin,Burning sensation,Skin irritation
922,acotrust  tablet,Acosat 100mg Tablet,Actapro Tablet,Dycotiam Tablet,Tocamide Tablet,Actapro Tablet,Headache,Diarrhea,
923,aldep 10 tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
924,at sp tablet,Closera P 50 mg/500 mg/10 mg Tablet,Dentain Plus 50 mg/500 mg/10 mg Tablet,Surgesic P Tablet,Painoxol S Tablet,Infladase Plus 50 mg/500 mg/10 mg Tablet,Nausea,Vomiting,Stomach pain
925,anxol tablet,Donyx 25mg Tablet,,,,,Drowsiness,Dryness in mouth,Tiredness
926,aricef o 50mg/5ml dry syrup,Cafex 50mg Dry Syrup,Cefolin 50mg/5ml Dry Syrup,Fimial Dry Syrup,Cianfit 50mg Dry Syrup,Xf 50mg Dry Syrup,Abdominal pain,Allergy,Nausea
927,addwize od 18mg tablet,Concerta 18mg Tablet,,,,,Headache,Insomnia (difficulty in sleeping),Abdominal pain
928,amipride 50 tablet,Gressami 50mg Tablet,Amisyt 50mg Tablet,Quinpride 50 Tablet,Restpride 50 Tablet,Sulvol 50mg Tablet,Nausea,Vomiting,Dryness in mouth
929,altiva 120mg tablet,Lcfex Tablet,Etofex 120mg Tablet,Nexofex 120mg Tablet,Fexise 120mg Tablet,Histafree 120 Tablet,Headache,Drowsiness,Dizziness
930,aclon-sp tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Kace S 100mg/500mg/15mg Tablet,Starnac Plus 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain
931,allenza tablet,Bromin Tablet,Edinase  -DS Tablet,Rubrosin Tablet,Jubiflam Forte Tablet,Tyronide DS Tablet,No common side effects seen,,
932,amrolmac cream,Alimnator Cream,Amrosys Cream,Amrolstar Cream,Amrfy XL 0.25% Cream,Amrolstar Cream,Blisters on skin,Nail disorder,Skin irritation
933,atrovas 40mg tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion
934,amtas 10 tablet,Aginal 10mg Tablet,Amodep 10mg Tablet,Lupidip 10mg Tablet,Amlokind 10mg Tablet,Amcard 10 Tablet,Headache,Fatigue,Nausea
935,alpostin 500mcg injection,Prostin VR Paediatric Injection,Prostal Injection,Prostaver 500mcg Injection,Bioglandin 500mcg Injection,Prostin VR 500mcg Injection,Apnea (absence of breathing),Fever,
936,alka-ph syrup,Cadicitron 1.4gm/5ml Syrup,Acrocitron 1.4gm/5ml Syrup,Alkacit Syrup,Alkawin 1.4gm/5ml Syrup,Alto's Citrasol Liquid,Stomach pain,Tiredness,Diarrhea
937,amlokind beta 5mg/25mg tablet pr,DavaIndia Amlodipine+Metoprolol Succinate 5mg/25mg Tablet PR,Metadon 25 AM Tablet PR,Gudpres-AM 25 Tablet PR,Amloss-Beta Tablet PR,Amlosafe MT 25 Tablet PR,Nausea,Slow heart rate,Abdominal pain
938,afogatran 110 capsule,Dabigo 110mg Capsule,Dabimend 110 Capsule,Dabiac 110mg Capsule,Dabifib 110 Capsule,Dabipla 110mg Capsule,Nausea,Anemia (low number of red blood cells),Gastrointestinal bleeding
939,auradex 4mg tablet,Decdak 4mg Tablet,Dexford 4mg Tablet,Decdan 4mg Tablet,Dexane 4mg Tablet,Dexa 4mg Tablet,Cardiovascular complications,Metabolic disorder,Infection
940,ancool  sf suspension,Asuc 500mg Suspension,,,,,Constipation,,
941,aggramed 5mg infusion,Aggrilek Infusion,Terofib 5mg Infusion,Tirofuse Injection,Agrifib 5mg Infusion,Tiroban 5mg Infusion,Headache,Nausea,Hematoma
942,acetamide 250mg tablet,Acemax 250mg Tablet,Opt Tablet,ACTAMIDE 250MG TABLET,Zac 250mg Tablet,Actazid 250mg Tablet,Tingling sensation of extremity,Loss of appetite,Diarrhea
943,agmacet 10mg tablet,Cetral O 10mg Tablet,Dio 1 10mg Tablet,Leecet Tablet,CTZ Tablet,Cetcip Tablet,Sleepiness,Dizziness,
944,amloz at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
945,aerodil-dx syrup raspberry sugar free,Codistar-DX  Syrup,Corex DX  Syrup,Supko DX Syrup,Bricarex-DX Syrup,Cheston D Syrup Sugar Free,Upset stomach,Sleepiness,
946,arip mt 10 tablet,Apiz 10mg Tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Ariday 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
947,alivher es tablet,Endothik ES 1mg/25mg Tablet,,,,,Diarrhea,Nausea,Stomach pain
948,amrfy 0.25% cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation
949,amrobrut cream,Arolson Cream,Zydiwon Cream,Amrolwin Cream,Emrolfin Cream,Amrolwin Cream,Limited data available,,
950,ace plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
951,advent 228.5mg dry syrup,Mokcan CV 200mg/28.5mg Dry Syrup,Clavmentin Duo Dry Syrup,Xtraclav 200 mg/28.5 mg Dry Syrup,Mpx-CV Dry Syrup,Clavituf 200 mg/28.5 mg Dry Syrup,Nausea,Vomiting,Abdominal pain
952,alides 5mg tablet,Lorday Tablet,Deswin 5mg Tablet,Nucope 5mg Tablet,Eslot 5mg Tablet,DE Argella 5mg Tablet,Sleepiness,Dizziness,
953,alastin am tablet,Loridin AM Tablet,CLARIDIN AM TABLET,Lorpd AM 60mg/5mg Tablet,Lorich-AM Tablet,Lorist AX 60mg/5mg Tablet,Upset stomach,Headache,Sleepiness
954,ascodex sf syrup sugar free,Winnow X Syrup,Ascodex BR Syrup,Nefdyl X Syrup,Cosodril BT Syrup,Salmodil Plus Syrup,Nausea,Diarrhea,Bloating
955,amclaid 625 tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
956,avoprost 8mg capsule,Prostagard 8 Capsule,Silostride Capsule,Sildoease 8mg Capsule,Silotrif 8 Capsule,Silosmart 8mg Capsule,Retrograde ejaculation,Dizziness,Diarrhea
957,amiline 10mg tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
958,arvast f 10 tablet,Rozucor F LS 67mg/10mg Tablet,Jupiros FL 67 mg/10 mg Tablet,Rolistat F 10 Tablet,Rozafin F 67mg/10mg Tablet,Rozuxia-F 67mg/10mg Tablet,Headache,Muscle pain,Constipation
959,anin 500mg injection,Depovig 500mg Injection,Pregaphase 500mg Injection,Oxyron 500 Injection,Eutrion H 500mg Injection,Hergest Injection,Injection site pain,Injection site swelling,Red spots or bumps
960,amloz 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
961,azulix 4 mf forte tablet pr,Isryl-M 4 Forte Tablet PR,Diapride M4 Forte Tablet PR,Glador M4 Forte Tablet PR,Glycomet-GP 4 Forte Tablet PR,Glimestar-M4 Forte Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
962,amtas-at 25 tablet,Betacard-AM 5mg/25mg Tablet,DavaIndia Amlodipine+Atenolol 5mg/25mg Tablet,Numlo-AT 5mg/25mg Tablet,Amlokos AT 5mg/25mg Tablet,Dipinol 5 mg/25 mg Tablet,Sleepiness,Headache,Ankle swelling
963,arophyll hd 10mg/120mg/200mg tablet,Enact-3D Tablet,AFM Tablet,Acebronk MFX 10mg/120mg/200mg Tablet,Sebnix FM 10mg/120mg/200mg Tablet,Fexmont Ace 10mg/120mg/200mg Tablet,Nausea,Vomiting,Diarrhea
964,alcaft eye drop,Caftaday Eye Drop,,,,,Eye irritation,Itching,Stinging in the eyes
965,acitrom 0.5 tablet,,,,,,Hemorrhage,,
966,asar 40 tablet,Azilura 40 Tablet,Zilarta 40 Tablet,Nexsart 40 Tablet,Azildac 40 Tablet,Altoran 40 Tablet,Dizziness,Muscle damage,Diarrhea
967,anxit 0.5 sr tablet,Trika SR 0.5 Tablet,,,,,Lightheadedness,Drowsiness,
968,alkazip syrup,Alkastar Syrup,Alkapil Syrup,Q Citra 1.53gm/5ml Syrup,Oneston 1.53gm/5ml Syrup,Urogard Urogard-SF Syrup Sugar Free,Stomach pain,Tiredness,Diarrhea
969,afoglip m  500 tablet er,Teneliglip-M 500 Tablet ER,Tenipack M Tablet ER,Tenlicure M 500 Tablet ER,Tenemerze M 500mg/20mg Tablet ER,Tenali M 500 Tablet ER,Hypoglycemia (low blood glucose level),Nausea,Vomiting
970,arvast-cf 10 capsule dr,,,,,,Headache,Muscle pain,Constipation
971,augmentin 375 duo tablet,Moxikind-CV 375 Tablet,Flemiclav 375 Tablet,Erox CV 250mg/125mg Tablet,Mega-CV 375 Tablet,Indclav 375 Tablet,Vomiting,Nausea,Diarrhea
972,actrapid 100iu/ml solution for injection,Wosulin-R DispoPen,Lupisulin R 100IU/ml Cartridge,Insuman Rapid 100IU/ml Solution for Injection,Actrapid HM 100IU/ml Penfill,Huminsulin R 100IU Cartridge,Hypoglycemia (low blood glucose level),Weight gain,Edema (swelling)
973,axinerve-p tablet sr,Mahagaba-M OD Tablet SR,Nervijen-P SR Tablet,Gabasafe Plus  SR 75 Tablet,Revlin M Tablet SR,Axogurd-SR Tablet,Dizziness,Sleepiness,Tiredness
974,adiflam plus 400 mg/500 mg tablet,Multigon Tablet,Ibuwin 400 mg/500 mg Tablet,Tolfen Tablet,Ibuflam 400 mg/500 mg Tablet,Arden Plus 400 mg/500 mg Tablet,Heartburn,Indigestion,Nausea
975,amitop m 5mg/1500mcg tablet,Amnurite  5 mg/1500 mcg Tablet,,,,,Constipation,Difficulty in urination,Weight gain
976,asomex-d tablet,Amlovin H 2.5mg/12.5mg Tablet,Espin H 2.5 mg/12.5 mg Tablet,ASOMEX D  TABLET 2.5mg/12.5mg,Eslo-D Tablet,,Glucose intolerance,Sleepiness,Ankle swelling
977,azro 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
978,answell 400 mg/325 mg tablet,Bruace 400 mg/325 mg Tablet,Rupar 400 mg/325 mg Tablet,Brufamol Tablet,Brumol 400 mg/325 mg Tablet,Zupar 400mg/325mg Tablet,Heartburn,Indigestion,Nausea
979,acenext 100mg tablet,Topnac 100mg Tablet,Topflam 100mg Tablet,Acenal 100mg Tablet,Safronac 100mg Tablet,Dolokind 100mg Tablet,Vomiting,Stomach pain/epigastric pain,Nausea
980,advent 1.2gm  injection,Megox 1000 mg/200 mg Injection,Amoxyclav 1000 mg/200 mg Injection,Moxilium CV 1000mg/200mg Injection,Lactoclaav 1000mg/200mg Injection,Indclav 1000 mg/200 mg Injection,Vomiting,Nausea,Diarrhea
981,azilup 500 mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
982,aceron tc tablet,,,,,,Nausea,Vomiting,Heartburn
983,aldigesic-rab capsule sr,Douxrab Ace 200mg/20mg Capsule SR,Rabispan-AC Capsule SR,Rient-A Capsule SR,Rabewan AC 200mg/20mg Capsule SR,Redugesic OD Capsule SR,Nausea,Flatulence,Indigestion
984,action or 1000mg tablet,Paracin 1000mg Tablet,Arden 1000 Tablet,Opara Tablet,Calpol 1000mg Tablet,Pyrigesic 1000 Tablet,Stomach pain,Nausea,Vomiting
985,adilin 40mg tablet sr,Isotropic 40 SR Tablet,Divos 40 Tablet SR,Isoman-SR 40 Tablet,Spzac 40mg Tablet SR,Prymavas 40mg Tablet SR,Dizziness,Palpitations,
986,abhayrab-pf vaccine,Sure Rab Vaccine,Rabipur Vaccine,Zuvirab Vaccine,Abhayrab Vaccine,,Pain,Joint pain,Injection site redness
987,amlodac 10 tablet,Aginal 10mg Tablet,Amodep 10mg Tablet,Lupidip 10mg Tablet,Amlokind 10mg Tablet,Amcard 10 Tablet,Headache,Fatigue,Nausea
988,alfalog tablet,Renoalfa Tablet,Nefrosave Keto Tablet,Ketodel Tablet,Ketomega Tablet,Henalog Tablet,Increased calcium level in blood,,
989,azax 500 tablet,Zithrocare 500mg Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
990,azifast gel,Zithrotop 2% Gel,Topmycin Gel,,,,"Application site reactions (burning, irritation, itching and redness)",Vomiting,Nausea
991,amlovas-l tablet,Etopres LP 5 mg/5 mg Tablet,Listril AM Tablet,Aamin L 5mg/5mg Tablet,Aldo L Tablet,Acedip Tablet,Ankle swelling,Headache,Tiredness
992,atorsave d 10 tablet,Lipigraf D3 Tablet,Atorfit D 10mg/1000IU Tablet,Atocer-D 10mg/1000IU Tablet,Megmator D3 10mg/1000IU Tablet,Atormac D 10 Tablet,Nausea,Stomach pain,Constipation
993,amfy v  vaginal gel,,,,,,No common side effects seen,Nausea,Vomiting
994,amit 10 mg tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
995,alex p paed drop,,,,,,Nausea,Headache,Insomnia (difficulty in sleeping)
996,azivent 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
997,Alto's citrasol liquid,Cadicitron 1.4gm/5ml Syrup,Acrocitron 1.4gm/5ml Syrup,Alkacit Syrup,Alkawin 1.4gm/5ml Syrup,Citodac Syrup,Stomach pain,Tiredness,Diarrhea
998,amorfine cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amrobest Cream,Blisters on skin,Nail disorder,Skin irritation
999,azapure tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azin Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea
1000,akme-entoquol tablet,,,,,,Constipation,Nausea,Vomiting
1001,amrolmac cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amrobest Cream,Blisters on skin,Nail disorder,Skin irritation
1002,atherochek 10 tablet,,,,,,Joint pain,Increased liver enzymes,Nausea
1003,axepta 18mg tablet,Atmosril 18mg Tablet,Attera 18mg Tablet,Atomox 18mg Tablet,Atonext 18 Tablet,Tomkid 18mg Tablet,Headache,Nausea,Vomiting
1004,alconil 500mg tablet,DavaIndia Disulfiram 500mg Tablet,Cronodol 500mg Tablet,Disfit 500 Tablet,Dizone 500mg Tablet,Gigadif 500mg Tablet,Headache,Fatigue,Drowsiness
1005,ascodex d syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite
1006,angiplat 6.5 capsule tr,Angistat 6.5 Capsule TR,Vasovin-XL 6.5 Capsule,Angispan-TR 6.5mg Capsule,,,Blurred vision,Decreased blood pressure,Dizziness
1007,adfrar injection,Mabvinra 40mg Injection,Exemptia 40mg/0.8ml Injection,Admira 40mg/0.8ml Injection,,,Headache,Sinus inflammation,Rash
1008,ambrox t syrup,T Kuff Syrup,Advanced LCF Kid Expectorant,Kofide Syrup,C C Gesic Plus Syrup,Wifi-S Syrup Sugar Free,Nausea,Diarrhea,Vomiting
1009,aciloc only oral liquid,,,,,,Headache,Diarrhea,Gastrointestinal disturbance
1010,azunate 60mg injection,Arteross 60mg Injection,Falciart 60mg Injection,Falsitis AR Injection,Leonate 60mg Injection,Neosunate 60mg Injection,Headache,Dizziness,Weakness
1011,acton-or plus+ tablet,Thiossil Plus 325mg/4mg Tablet,Thiobit Plus 325mg/4mg Tablet,,,,Stomach pain,Diarrhea,Skin rash
1012,amikacin 250mg injection,Cachmik 250mg Injection,Amikas 250mg Injection,Amibiotic 250mg Injection,Amister 250mg Injection,Ivimicin 250mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",
1013,accardi mr tablet mr,Danavish Trimetazidine 35mg Tablet MR,Invidon 35 XR Tablet,Trinol 35mg Tablet MR,Angidine Retard Tablet MR,Triden 35mg Tablet MR,Dizziness,Headache,Nausea
1014,acenac-sr tablet,Algic 200mg Tablet SR,Topnac 200mg Tablet SR,Kindac 200mg Tablet SR,Ultranac 200mg Tablet SR,Bignac 200mg Tablet SR,Dizziness,Indigestion,Nausea
1015,albutamol plus tablet,Brosal Forte Tablet,,,,,Nausea,Vomiting,Bloating
1016,azirin 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
1017,amlodac ch tablet,Amlong CT Tablet,Amlovas CH 5 mg/12.5 mg Tablet,Enzochlor 5mg/12.5mg Tablet,,,Glucose intolerance,Sleepiness,Ankle swelling
1018,atorec 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
1019,azilide 100 redimed oral suspension,Aziphar 100 Suspension,Ibithral 100 Rediuse Oral Suspension,G-Thro 100 Suspension,Azikem 100mg/5ml Oral Suspension,Pratham 100 Rediuse Oral Suspension,Vomiting,Nausea,Abdominal pain
1020,alkanil syrup,,,,,,Stomach pain,Tiredness,Diarrhea
1021,atrest 12.5 tablet,,,,,,Nausea,Insomnia (difficulty in sleeping),Anxiety
1022,abvida 50mg tablet,Gliptagreat 50 Tablet,Zukanorm 50 Tablet,Vilatin Tablet,Glipy Tablet,Viltor 50 Tablet,Hypoglycemia (low blood glucose level),Tremors,Headache
1023,azee xl 100mg dry syrup peppermint,Azitru 100mg/5ml Dry Syrup,Aziwok 100mg/5ml Dry Syrup,Zithromin 100mg Dry Syrup,Aziclub 100mg Dry Syrup,Azoking Dry Syrup,Vomiting,Nausea,Abdominal pain
1024,asa 75mg tablet,Sprin 75mg Tablet,CV Sprin 75mg Tablet,Aspidot 75mg Tablet,E Prin 75mg Tablet,Loprin 75 Tablet,Heartburn,Increased bleeding tendency,Nausea
1025,amnurite  25 tablet sr,Amnuring 25 Tablet SR,,,,,Constipation,Difficulty in urination,Weight gain
1026,atorlip 5 tablet,Orvas 5 Tablet,Zivast 5 Tablet,Lesstrol 5mg Tablet,Atorslim 5mg Tablet,Nustat 5mg Tablet,Dyspepsia,Abdominal pain,Indigestion
1027,acnetoin plus gel,Clim-IT Gel,,,,,Skin peeling,Itching,Stinging sensation
1028,amlovas-m 5/25 tablet pr,DavaIndia Amlodipine+Metoprolol Succinate 5mg/25mg Tablet PR,Metadon 25 AM Tablet PR,Gudpres-AM 25 Tablet PR,Amlokind Beta 5mg/25mg Tablet PR,Amloss-Beta Tablet PR,Nausea,Slow heart rate,Abdominal pain
1029,aziford 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
1030,anglit 2.6 tablet cr,Winitro 2.6mg Tablet CR,Nestin 2.6mg Tablet CR,Ntgn 2.6 Tablet CR,Nitrolife 2.6 Tablet CR,Nitro-G 2.6 Tablet CR,Blurred vision,Decreased blood pressure,Dizziness
1031,amlogard 2.5mg tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Headache,Fatigue,Nausea
1032,amdepin 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
1033,ab-resp tablet,Abrofyl 100mg Tablet,Acebrovel 100mg Tablet,Axeldox 100mg Tablet,Mucobus Tablet,Acbram 100mg Tablet,Nausea,Headache,Vomiting
1034,amiodar 200 tablet,Panarone 200mg Tablet,Duron 200 Tablet,Tachyra 200 Tablet,Art-X Tablet,Cordarone X Tablet,Lung damage,Tachycardia,Congestive cardiac failure
1035,amazeo od 100 tablet sr,Amibet 100 SR Tablet,Cizorest 100 OD Tablet SR,Amilyst 100mg Tablet SR,Soltus OD 100 Tablet SR,,Nausea,Vomiting,Dryness in mouth
1036,alzero m syrup,Leco-M 2.5mg/5mg Syrup,Medlivo M Syrup,Epimon L Syrup,Evocet M Kid Syrup,Alerbit M Syrup,Rash,Nausea,Diarrhea
1037,acocontin tablet cr,Mucovert-CR Tablet,,,,,Vomiting,Nausea,Upset stomach
1038,alphacept 8 tablet,Silorap 8mg Tablet,Silolax 8mg Tablet,Sidopac 8mg Tablet,Prostasil 8 Tablet,Siloflow 8mg Tablet,Retrograde ejaculation,Dizziness,Diarrhea
1039,azithral xl 200 liquid,Azam 200 Oral Suspension,Spazit Suspension,Aziitech 200mg Oral Suspension,Aziecro 200mg Oral Suspension,Azee 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain
1040,altime cf syrup,Cedea Syrup,Ritz CF Syrup,Reditime Syrup,Citrikof Syrup,Exiliq Syrup,Vomiting,Nausea,Diarrhea
1041,augxetil cv 500 tablet,Cefakind-CV 500 Tablet,Zefu-CV 500 Tablet,Keftil CV 500mg/125mg Tablet,Octocef-CV 500mg/125mg Tablet,Addcefurox CV 500mg/125mg Tablet,Nausea,Vomiting,Diarrhea
1042,ambrolite cold syrup,Ambril Syrup,Respolite Syrup,Ambrolene Syrup,Revibrox Plus 30mg/5ml Syrup,Cofnil AM 30mg Syrup,Vomiting,Nausea,Upset stomach
1043,altonil syrup,Trunap Syrup,Trunap Syrup,Noctura Syrup,,,Headache,Drowsiness,
1044,asolt-at tablet,,,,,,Nausea,Vomiting,Heartburn
1045,acocare 300mg tablet sr,Akostol-OD Tablet SR,Acosat 300mg Tablet SR,Cotia 300mg Tablet SR,Acoride 300 ER Tablet,Acotibien 300 SR Tablet,Headache,Diarrhea,
